Year,Pitcher,League,Type,Wins,Win_pct,Saves,ERA,Strikeouts,Innings_pitched
1998,42,0,1,20.0,0.769231,0.0,2.65,271.0,234.7
1996,1,1,1,18.0,0.64286,1.0,3.83,215.0,230.3
1999,28,0,0,4.0,0.5,43.0,3.68,60.0,66.0
2001,42,0,1,20.0,0.87,0.0,3.51,213.0,220.3
1993,38,0,1,19.0,0.67857,0.0,3.87,215.0,216.3
1997,42,0,1,21.0,0.75,0.0,2.05,292.0,264.0
1998,10,0,1,20.0,0.740741,0.0,3.55,209.0,207.7
2000,50,1,1,21.0,0.7,0.0,3.4,152.0,241.0
1995,45,0,1,18.0,0.9,0.0,2.48,159.0,214.3
1998,29,0,0,3.0,0.75,42.0,2.03,72.0,62.0
2001,26,1,0,3.0,0.375,43.0,3.61,58.0,74.7
1997,13,1,1,20.0,0.8,0.0,2.97,172.0,233.33
2002,9,1,1,23.0,0.766667,0.0,3.23,316.0,259.3
2000,54,0,1,20.0,0.769,0.0,4.14,169.0,202.3
1995,23,0,0,3.0,1.0,46.0,1.13,49.0,64.0
1993,14,0,0,2.0,0.4,45.0,2.13,49.0,71.7
1996,38,0,1,20.0,0.66667,0.0,3.22,238.0,265.7
1997,7,0,1,20.0,0.666667,0.0,3.87,174.0,239.2
1998,53,1,0,4.0,0.666667,53.0,1.48,86.0,73.0
2000,55,0,0,2.0,0.3329999999999999,42.0,3.52,67.0,64.0
1995,40,1,1,18.0,0.72,0.0,3.22,158.0,190.3
2000,45,1,1,19.0,0.731,0.0,2.64,347.0,248.7
2001,34,1,1,22.0,0.733,0.0,3.16,185.0,216.3
1997,46,0,0,2.0,0.4,45.0,1.51,56.0,59.2
1997,18,1,1,19.0,0.8260870000000001,0.0,2.2,177.0,232.66
1995,36,0,1,19.0,0.67857,0.0,3.29,187.0,221.7
2000,12,0,0,4.0,0.5,42.0,2.56,79.0,91.3
2000,11,1,1,20.0,0.69,0.0,3.91,192.0,232.3
1997,48,1,1,19.0,0.791667,0.0,3.18,181.0,201.0
2001,45,1,1,21.0,0.778,0.0,2.49,372.0,249.7
1993,46,1,0,2.0,0.33333,53.0,3.11,65.0,75.3
2000,0,1,0,5.0,0.455,45.0,4.24,47.0,70.0
1993,20,1,1,22.0,0.75862,0.0,3.65,224.0,231.7
1998,51,0,0,7.0,0.636364,46.0,2.72,78.0,79.3
1998,31,1,1,19.0,0.678571,0.0,4.85,136.0,219.0
1995,52,1,0,1.0,0.5,36.0,1.82,42.0,54.3
1998,50,1,1,20.0,0.769231,0.0,2.47,157.0,229.3
1997,39,1,1,17.0,0.68,0.0,1.9,305.0,241.33
1993,18,1,1,20.0,0.66667,0.0,2.36,228.0,267.0
2001,2,1,0,6.0,0.6,43.0,3.77,93.0,76.3
1997,45,0,1,20.0,0.833333,0.0,2.28,291.0,213.0
1996,3,0,1,21.0,0.72414,0.0,3.87,229.0,221.0
2001,30,0,0,0.0,0.0,45.0,3.24,62.0,66.7
1996,57,1,0,4.0,0.4,44.0,3.03,70.0,65.3
1999,4,0,1,18.0,0.667,0.0,4.79,186.0,205.0
1995,32,0,0,0.0,0.0,37.0,3.47,42.0,49.3
1996,19,1,0,1.0,0.33333,44.0,2.41,54.0,71.0
1993,24,0,0,7.0,0.58333,45.0,2.27,65.0,87.3
1995,46,1,0,1.0,0.33333,38.0,3.88,49.0,55.7
1997,26,1,0,4.0,0.666667,42.0,2.38,74.0,94.66
1993,41,1,0,3.0,0.75,48.0,2.16,57.0,79.3
2001,25,0,1,20.0,0.769,0.0,3.43,119.0,209.7
1993,50,1,1,22.0,0.78571,0.0,3.2,236.0,239.3
2002,45,1,1,24.0,0.827586,0.0,2.32,334.0,260.0
1997,41,1,0,7.0,0.636364,37.0,3.47,53.0,70.0
2002,17,0,0,1.0,0.25,45.0,2.93,70.0,67.7
1999,44,0,0,2.0,0.4,43.0,3.07,69.0,73.3
2002,16,1,0,4.0,0.8,52.0,1.97,114.0,82.3
1999,37,0,0,4.0,0.5710000000000001,45.0,1.83,52.0,69.0
1998,56,0,0,2.0,0.2222219999999999,42.0,3.64,87.0,66.7
1999,5,0,1,18.0,0.7829999999999999,0.0,3.95,161.0,205.0
2001,37,0,0,4.0,0.4,50.0,2.34,83.0,80.7
1998,49,1,1,19.0,0.703704,0.0,3.51,209.0,233.3
2000,15,0,1,20.0,0.7140000000000001,0.0,4.11,166.0,229.7
1999,58,1,0,6.0,0.5,41.0,3.69,100.0,75.7
2002,27,1,0,3.0,0.6,55.0,3.25,85.0,80.3
2002,8,0,1,23.0,0.8214290000000001,0.0,2.75,182.0,229.3
1998,43,0,1,20.0,0.740741,0.0,4.41,164.0,216.3
1999,21,1,1,21.0,0.677,0.0,3.58,187.0,246.3
1998,41,1,0,3.0,0.428571,51.0,3.02,81.0,80.3
2001,53,1,0,3.0,0.429,43.0,3.43,63.0,60.3
1999,33,1,1,22.0,0.846,0.0,2.9,177.0,239.0
1997,11,1,1,19.0,0.730769,0.0,2.57,205.0,255.66
2002,6,0,0,11.0,0.733333,44.0,3.77,93.0,93.7
1999,45,1,1,17.0,0.654,0.0,2.48,364.0,271.7
2000,39,0,1,18.0,0.75,0.0,1.74,284.0,217.0
2001,9,1,1,22.0,0.7859999999999999,0.0,2.98,293.0,256.7
1997,53,1,0,6.0,0.6,37.0,2.66,111.0,81.33
1997,37,0,0,6.0,0.6,43.0,1.88,68.0,71.2
1993,45,0,1,19.0,0.7037,1.0,3.24,185.0,255.3
1999,36,0,1,18.0,0.72,0.0,3.5,172.0,203.3
1996,28,0,0,2.0,0.4,43.0,2.83,54.0,63.7
1993,22,0,1,22.0,0.6875,0.0,3.37,261.0,256.7
1996,27,1,1,24.0,0.75,0.0,2.94,199.0,253.7
2002,12,0,1,21.0,0.7241380000000001,0.0,2.58,127.0,219.7
2001,35,0,1,21.0,0.7240000000000001,0.0,3.45,153.0,229.3
2001,47,1,0,4.0,0.444,45.0,3.01,93.0,77.7
1996,23,0,0,2.0,0.2222199999999999,39.0,3.73,69.0,72.3
1999,53,1,0,2.0,0.4,40.0,2.14,73.0,67.3
2000,53,1,0,4.0,0.364,43.0,2.99,85.0,72.3
1995,18,1,1,19.0,0.90476,0.0,1.63,147.0,209.7
1999,39,0,1,23.0,0.852,0.0,2.07,313.0,213.3
